Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Girls' Generation 소녀시대 'All Night' MV (Clean Ver.),Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=f4w8IbQTJpY,https://i.ytimg.com/vi/f4w8IbQTJpY/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'All Night' MV (Clean Ver.).mp3
[MV] TAEYEON(태연) - Pieces(조각),Girls Generation,SUPER SOUND Bugs!,Single,kpop-gen2,https://music.youtube.com/watch?v=gPntEbv7lws,https://i.ytimg.com/vi/gPntEbv7lws/sddefault.jpg,Girls Generation/Single/[MV] TAEYEON(태연) - Pieces(조각).mp3
TAEYEON 태연 'What Do I Call You' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=5LbFdY6vGsQ,https://i.ytimg.com/vi/5LbFdY6vGsQ/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'What Do I Call You' MV.mp3
TIFFANY 티파니 'I Just Wanna Dance' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=E0Y3ABqK7M4,https://i.ytimg.com/vi/E0Y3ABqK7M4/maxresdefault.jpg,Girls Generation/Single/TIFFANY 티파니 'I Just Wanna Dance' MV.mp3
Girls' Generation-TTS 소녀시대-태티서 'Holler' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=uXfxVm3V55I,https://i.ytimg.com/vi/uXfxVm3V55I/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-TTS 소녀시대-태티서 'Holler' MV.mp3
HYO 효연 'Second (Feat. 비비 (BIBI))' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=rthppvDJ2fA,https://i.ytimg.com/vi/rthppvDJ2fA/maxresdefault.jpg,Girls Generation/Single/HYO 효연 'Second (Feat. 비비 (BIBI))' MV.mp3
Girls' Generation 少女時代 'LOVE&GIRLS' MV Dance ver.,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=6ex1YkDXelo,https://i.ytimg.com/vi/6ex1YkDXelo/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'LOVE&GIRLS' MV Dance ver..mp3
Twinkle,Girls Generation,Girls' Generation-TTS,Twinkle - Mini Album,kpop-gen2,https://music.youtube.com/watch?v=ETIuTYFZLow,https://i.ytimg.com/vi/ETIuTYFZLow/maxresdefault.jpg,Girls Generation/Twinkle - Mini Album/Twinkle.mp3
YOONA 윤아 'Wish to Wish' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=1mVo8z3VBBI,https://i.ytimg.com/vi/1mVo8z3VBBI/maxresdefault.jpg,Girls Generation/Single/YOONA 윤아 'Wish to Wish' MV.mp3
SEOHYUN 서현 'Don't Say No' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=PBYnq_G866U,https://i.ytimg.com/vi/PBYnq_G866U/maxresdefault.jpg,Girls Generation/Single/SEOHYUN 서현 'Don't Say No' MV.mp3
TAEYEON 태연 'Happy' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Raj-AuQgCTg,https://i.ytimg.com/vi/Raj-AuQgCTg/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Happy' MV.mp3
TAEYEON 태연 'Make Me Love You' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=TVUqLBRQom8,https://i.ytimg.com/vi/TVUqLBRQom8/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Make Me Love You' MV.mp3
Tiffany Young - Lips On Lips Official Music Video,Girls Generation,Tiffany Young,Single,kpop-gen2,https://music.youtube.com/watch?v=Th7IXezLbYU,https://i.ytimg.com/vi/Th7IXezLbYU/maxresdefault.jpg,Girls Generation/Single/Tiffany Young - Lips On Lips Official Music Video.mp3
Girls' Generation-TTS 소녀시대-태티서 'Dear Santa' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=CL34w0xql7s,https://i.ytimg.com/vi/CL34w0xql7s/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-TTS 소녀시대-태티서 'Dear Santa' MV.mp3
첫눈에... Snowy Wish,Girls Generation,Girls' Generation,훗 Hoot - The 3rd Mini Album,kpop-gen2,https://music.youtube.com/watch?v=eg3A8pnpZG0,https://i.ytimg.com/vi/eg3A8pnpZG0/maxresdefault.jpg,Girls Generation/훗 Hoot - The 3rd Mini Album/첫눈에... Snowy Wish.mp3
TAEYEON 태연 'Something New' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=im1UUY8dQIk,https://i.ytimg.com/vi/im1UUY8dQIk/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Something New' MV.mp3
[STATION] TIFFANY 티파니 'Heartbreak Hotel (Feat. Simon Dominic)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=zQ6u3FO-aRM,https://i.ytimg.com/vi/zQ6u3FO-aRM/maxresdefault.jpg,Girls Generation/Single/[STATION] TIFFANY 티파니 'Heartbreak Hotel (Feat. Simon Dominic)' MV.mp3
DEEP,Girls Generation,HYO,DEEP - The 1st Mini Album,kpop-gen2,https://music.youtube.com/watch?v=wZIoIgz5mbs,https://i.ytimg.com/vi/wZIoIgz5mbs/maxresdefault.jpg,Girls Generation/DEEP - The 1st Mini Album/DEEP.mp3
Girls' Generation 소녀시대 'Kissing You' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=r3yxxe66LXs,https://i.ytimg.com/vi/r3yxxe66LXs/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Kissing You' MV.mp3
[STATION] YOONA 윤아 '바람이 불면 (When The Wind Blows)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=o3pOzegB-7w,https://i.ytimg.com/vi/o3pOzegB-7w/maxresdefault.jpg,Girls Generation/Single/[STATION] YOONA 윤아 '바람이 불면 (When The Wind Blows)' MV.mp3
Girls' Generation 소녀시대 '소녀시대 (Girls' Generation)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=IbLh4i40I4E,https://i.ytimg.com/vi/IbLh4i40I4E/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '소녀시대 (Girls' Generation)' MV.mp3
TAEYEON 태연 'This Christmas' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hsh54g9JmC0,https://i.ytimg.com/vi/hsh54g9JmC0/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'This Christmas' MV.mp3
[STATION] YOONA 윤아 '덕수궁 돌담길의 봄 (Deoksugung Stonewall Walkway) (Feat. 10cm)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=yuCbJykB32M,https://i.ytimg.com/vi/yuCbJykB32M/maxresdefault.jpg,Girls Generation/Single/[STATION] YOONA 윤아 '덕수궁 돌담길의 봄 (Deoksugung Stonewall Walkway) (Feat. 10cm)' MV.mp3
Tiffany Young - Magnetic Moon (Official Music Video),Girls Generation,Tiffany Young,Single,kpop-gen2,https://music.youtube.com/watch?v=oM_t7Y8gBwU,https://i.ytimg.com/vi/oM_t7Y8gBwU/maxresdefault.jpg,Girls Generation/Single/Tiffany Young - Magnetic Moon (Official Music Video).mp3
YURI 유리 '빠져가 (Into You)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hsJ2c3k_XeE,https://i.ytimg.com/vi/hsJ2c3k_XeE/maxresdefault.jpg,Girls Generation/Single/YURI 유리 '빠져가 (Into You)' MV.mp3
Tiffany Young - Teach You (Official Music Video),Girls Generation,Tiffany Young,Single,kpop-gen2,https://music.youtube.com/watch?v=16QbCoxLNkI,https://i.ytimg.com/vi/16QbCoxLNkI/maxresdefault.jpg,Girls Generation/Single/Tiffany Young - Teach You (Official Music Video).mp3
[STATION] 유리 X 서현 'Secret' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=ZRPgtoEO6OM,https://i.ytimg.com/vi/ZRPgtoEO6OM/maxresdefault.jpg,Girls Generation/Single/[STATION] 유리 X 서현 'Secret' MV.mp3
Closer,Girls Generation,Girls' Generation,FOREVER 1 - The 7th Album,kpop-gen2,https://music.youtube.com/watch?v=fa4Y9t1Nsw8,https://i.ytimg.com/vi/fa4Y9t1Nsw8/maxresdefault.jpg,Girls Generation/FOREVER 1 - The 7th Album/Closer.mp3
