Original_Title,Title,Main_Artist,Original_Artist,Source_Channel,Album,Genre,YouTube_URL,Cover_URL,File_Path,Possible_Duplicate
EXO-K 엑소케이 'MAMA' MV (Korean ver.),MAMA,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=KH6ZwnqZ7Wo,https://i.ytimg.com/vi/KH6ZwnqZ7Wo/maxresdefault.jpg,EXO/Single/EXO-K 엑소케이 'MAMA' MV (Korean ver.).mp3,False
EXO-CBX (첸백시) 'Hey Mama!' MV,Hey Mama!,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=AOzVyVv1HtQ,https://i.ytimg.com/vi/AOzVyVv1HtQ/maxresdefault.jpg,EXO/Single/EXO-CBX (첸백시) 'Hey Mama!' MV.mp3,False
괜찮아도 괜찮아 That's okay,괜찮아도 괜찮아 That's okay,EXO,D.O.,D.O.,괜찮아도 괜찮아 That's okay,kpop-gen3,https://music.youtube.com/watch?v=fl80JQQv0pU,https://i.ytimg.com/vi/fl80JQQv0pU/maxresdefault.jpg,EXO/괜찮아도 괜찮아 That's okay/괜찮아도 괜찮아 That's okay.mp3,False
EXO 엑소 'Let Me In' MV,Let Me In,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=91VhCIQNjIc,https://i.ytimg.com/vi/91VhCIQNjIc/maxresdefault.jpg,EXO/Single/EXO 엑소 'Let Me In' MV.mp3,False
[괜찮아 사랑이야 OST Part 1] 첸 (CHEN) (EXO) - 최고의 행운 (Best Luck) MV,최고의 행운 (Best Luck),EXO,EXO,Stone Music Entertainment,Single,kpop-gen3,https://music.youtube.com/watch?v=FC7p9v-xtm4,https://i.ytimg.com/vi/FC7p9v-xtm4/maxresdefault.jpg,EXO/Single/[괜찮아 사랑이야 OST Part 1] 첸 (CHEN) (EXO) - 최고의 행운 (Best Luck) MV.mp3,False
EXO-CBX (첸백시) '花요일 (Blooming Day)' MV,花요일 (Blooming Day),EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=Ib674A1yMtg,https://i.ytimg.com/vi/Ib674A1yMtg/maxresdefault.jpg,EXO/Single/EXO-CBX (첸백시) '花요일 (Blooming Day)' MV.mp3,False
EXO-K 엑소케이 'History' MV (Korean Ver.),History,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=vdejiaoEhFc,https://i.ytimg.com/vi/vdejiaoEhFc/maxresdefault.jpg,EXO/Single/EXO-K 엑소케이 'History' MV (Korean Ver.).mp3,False
[STATION] 유재석 X EXO 'Dancing King' MV,Dancing King,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=4EiNsoTc9kk,https://i.ytimg.com/vi/4EiNsoTc9kk/maxresdefault.jpg,EXO/Single/[STATION] 유재석 X EXO 'Dancing King' MV.mp3,False
EXO 엑소 'Universe' MV,Universe,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=leu-cTvMWTA,https://i.ytimg.com/vi/leu-cTvMWTA/maxresdefault.jpg,EXO/Single/EXO 엑소 'Universe' MV.mp3,False
EXO 엑소 'Hear Me Out' MV,Hear Me Out,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=r2VZQa2IgP4,https://i.ytimg.com/vi/r2VZQa2IgP4/maxresdefault.jpg,EXO/Single/EXO 엑소 'Hear Me Out' MV.mp3,False
