Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Piece Of You,Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=cXKrSDJQSBM,https://i.ytimg.com/vi/cXKrSDJQSBM/maxresdefault.jpg,Shawn Mendes/Wonder/Piece Of You.mp3
When You're Ready,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=nwCqA7hBTuE,https://i.ytimg.com/vi/nwCqA7hBTuE/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/When You're Ready.mp3
Honest,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=RNM4ONvozD4,https://i.ytimg.com/vi/RNM4ONvozD4/maxresdefault.jpg,Shawn Mendes/Illuminate/Honest.mp3
Look Up At The Stars,Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=uhmNeMo9lR4,https://i.ytimg.com/vi/uhmNeMo9lR4/maxresdefault.jpg,Shawn Mendes/Wonder/Look Up At The Stars.mp3
Can’t Take My Eyes Off You (BBC Live Version),Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=LYhTz70nBJA,https://i.ytimg.com/vi/LYhTz70nBJA/maxresdefault.jpg,Shawn Mendes/Wonder/Can’t Take My Eyes Off You (BBC Live Version).mp3
Like To Be You,Shawn Mendes,"Shawn Mendes, Julia Michaels",Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=9HQ-bC3g-Jw,https://i.ytimg.com/vi/9HQ-bC3g-Jw/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Like To Be You.mp3
Lights On,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=gcIIpdPvCws,https://i.ytimg.com/vi/gcIIpdPvCws/maxresdefault.jpg,Shawn Mendes/Illuminate/Lights On.mp3
Always Been You,Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=7wQXlbn0kuw,https://i.ytimg.com/vi/7wQXlbn0kuw/maxresdefault.jpg,Shawn Mendes/Wonder/Always Been You.mp3
Queen,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=hXjwr3Hfn60,https://i.ytimg.com/vi/hXjwr3Hfn60/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Queen.mp3
Higher,Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=tT4kXAYeX_Y,https://i.ytimg.com/vi/tT4kXAYeX_Y/maxresdefault.jpg,Shawn Mendes/Wonder/Higher.mp3
A Little Too Much,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=o1UaTmF-QgE,https://i.ytimg.com/vi/o1UaTmF-QgE/maxresdefault.jpg,Shawn Mendes/Handwritten/A Little Too Much.mp3
Rip Up The Recipe (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack),Shawn Mendes,"Shawn Mendes, Constance Wu","Lyle, Lyle, Crocodile",usuk-pop,https://music.youtube.com/watch?v=OEgKT1FOBeM,https://i.ytimg.com/vi/OEgKT1FOBeM/maxresdefault.jpg,"Shawn Mendes/Lyle, Lyle, Crocodile/Rip Up The Recipe (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack).mp3"
When You're Gone (Acoustic),Shawn Mendes,Shawn Mendes,When You're Gone,usuk-pop,https://music.youtube.com/watch?v=gt5TcV8HEkU,https://i.ytimg.com/vi/gt5TcV8HEkU/maxresdefault.jpg,Shawn Mendes/When You're Gone/When You're Gone (Acoustic).mp3
Patience,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=1UQ9FdlfxXQ,https://i.ytimg.com/vi/1UQ9FdlfxXQ/maxresdefault.jpg,Shawn Mendes/Illuminate/Patience.mp3
Take A Look At Us Now (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack),Shawn Mendes,"Javier Bardem, Shawn Mendes","Lyle, Lyle, Crocodile",usuk-pop,https://music.youtube.com/watch?v=QWDWx-WYiMg,https://i.ytimg.com/vi/QWDWx-WYiMg/maxresdefault.jpg,"Shawn Mendes/Lyle, Lyle, Crocodile/Take A Look At Us Now (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack).mp3"
Running Low,Shawn Mendes,Shawn Mendes,Handwritten (Revisited),usuk-pop,https://music.youtube.com/watch?v=kVbEvgk2T7M,https://i.ytimg.com/vi/kVbEvgk2T7M/maxresdefault.jpg,Shawn Mendes/Handwritten (Revisited)/Running Low.mp3
Kid In Love,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=om-NTgz59M4,https://i.ytimg.com/vi/om-NTgz59M4/maxresdefault.jpg,Shawn Mendes/Handwritten/Kid In Love.mp3
